 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.5650 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .14973E+06 A
 Total NBCD Efficiency     =   .32800E-01 A/W
 Total Beam Beta           =   .20239E-02
 Taus                      =   .18422E-02 s
 Volp                      =   .17944E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .45650E+01
 Lost Power          .00000E+00
 NB driven current   .14973E+06
 NBCD efficiency     .32800E-01
 NBCD gamma          .17919E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .37451E-03 MW
 Total Power to Charged Particles =   .24711E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .32455E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
  .3800   .1651E+06   .1522E+00   .2081E+00   .1680E+19   .6044E+04   .4004E-04   .2419E+00   .2266E-01
  .4000   .1544E+06   .1452E+00   .1926E+00   .1567E+19   .5589E+04   .3638E-04   .2564E+00   .2402E-01
  .4200   .1447E+06   .1391E+00   .1788E+00   .1465E+19   .5180E+04   .3314E-04   .2711E+00   .2540E-01
  .4400   .1358E+06   .1338E+00   .1665E+00   .1373E+19   .4810E+04   .3024E-04   .2861E+00   .2680E-01
  .4600   .1276E+06   .1292E+00   .1554E+00   .1290E+19   .4474E+04   .2763E-04   .3014E+00   .2824E-01
  .4800   .1201E+06   .1252E+00   .1455E+00   .1213E+19   .4167E+04   .2527E-04   .3170E+00   .2970E-01
  .5000   .1132E+06   .1218E+00   .1366E+00   .1143E+19   .3887E+04   .2315E-04   .3329E+00   .3119E-01
  .5200   .1067E+06   .1188E+00   .1285E+00   .1078E+19   .3627E+04   .2122E-04   .3492E+00   .3271E-01
  .5400   .1007E+06   .1162E+00   .1211E+00   .1018E+19   .3387E+04   .1947E-04   .3658E+00   .3427E-01
  .5600   .9495E+05   .1140E+00   .1143E+00   .9607E+18   .3162E+04   .1787E-04   .3828E+00   .3586E-01
  .5800   .8952E+05   .1121E+00   .1080E+00   .9074E+18   .2952E+04   .1641E-04   .4001E+00   .3748E-01
  .6000   .8438E+05   .1105E+00   .1022E+00   .8571E+18   .2755E+04   .1506E-04   .4178E+00   .3914E-01
  .6200   .7950E+05   .1092E+00   .9680E-01   .8095E+18   .2570E+04   .1383E-04   .4359E+00   .4084E-01
  .6400   .7483E+05   .1082E+00   .9177E-01   .7643E+18   .2396E+04   .1269E-04   .4544E+00   .4257E-01
  .6600   .7037E+05   .1073E+00   .8703E-01   .7211E+18   .2231E+04   .1163E-04   .4734E+00   .4435E-01
  .6800   .6611E+05   .1068E+00   .8260E-01   .6802E+18   .2075E+04   .1065E-04   .4928E+00   .4616E-01
  .7000   .6211E+05   .1066E+00   .7854E-01   .6418E+18   .1929E+04   .9754E-05   .5126E+00   .4802E-01
  .7200   .5820E+05   .1066E+00   .7459E-01   .6044E+18   .1789E+04   .8904E-05   .5329E+00   .4992E-01
  .7400   .5440E+05   .1067E+00   .7074E-01   .5678E+18   .1654E+04   .8099E-05   .5537E+00   .5187E-01
  .7600   .5071E+05   .1071E+00   .6699E-01   .5322E+18   .1524E+04   .7335E-05   .5750E+00   .5386E-01
  .7800   .4709E+05   .1076E+00   .6332E-01   .4972E+18   .1399E+04   .6610E-05   .5968E+00   .5590E-01
  .8000   .4357E+05   .1084E+00   .5972E-01   .4631E+18   .1278E+04   .5926E-05   .6191E+00   .5799E-01
  .8200   .4005E+05   .1094E+00   .5607E-01   .4290E+18   .1159E+04   .5273E-05   .6419E+00   .6013E-01
  .8400   .3656E+05   .1105E+00   .5238E-01   .3949E+18   .1043E+04   .4636E-05   .6653E+00   .6232E-01
  .8600   .3309E+05   .1120E+00   .4866E-01   .3605E+18   .9283E+03   .4058E-05   .6892E+00   .6456E-01
  .8800   .2966E+05   .1139E+00   .4492E-01   .3265E+18   .8174E+03   .3497E-05   .7137E+00   .6686E-01
  .9000   .2618E+05   .1159E+00   .4090E-01   .2914E+18   .7069E+03   .2953E-05   .7388E+00   .6921E-01
  .9200   .2268E+05   .1184E+00   .3671E-01   .2556E+18   .5978E+03   .2438E-05   .7645E+00   .7162E-01
  .9400   .1928E+05   .1211E+00   .3200E-01   .2189E+18   .4912E+03   .1935E-05   .7908E+00   .7408E-01
  .9600   .1336E+05   .1172E+00   .2235E-01   .1564E+18   .3225E+03   .1111E-05   .8177E+00   .7660E-01
  .9800   .2137E+04   .7390E-01   .3644E-02   .3059E+17   .4538E+02   .7900E-07   .8453E+00   .7918E-01
 1.0000   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00
