 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.3410 MW
 Total Lost Power          =     .0790 MW
 Total NB Driven Current   =   .15008E+06 A
 Total NBCD Efficiency     =   .34573E-01 A/W
 Total Beam Beta           =   .19820E-02
 Taus                      =   .41156E-02 s
 Volp                      =   .17990E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .43410E+01
 Lost Power          .79008E-01
 NB driven current   .15008E+06
 NBCD efficiency     .34573E-01
 NBCD gamma          .16187E-01

 Beam Shinethrough
    energy group 1   .23520E-01
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .31472E-03 MW
 Total Power to Charged Particles =   .20769E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .27268E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
  .3600   .1866E+06   .1765E+00   .2196E+00   .1939E+19   .6805E+04   .3949E-04   .2335E+00   .2204E-01
  .3800   .1720E+06   .1664E+00   .2000E+00   .1781E+19   .6193E+04   .3525E-04   .2478E+00   .2339E-01
  .4000   .1592E+06   .1580E+00   .1833E+00   .1644E+19   .5664E+04   .3160E-04   .2623E+00   .2476E-01
  .4200   .1480E+06   .1508E+00   .1687E+00   .1524E+19   .5199E+04   .2841E-04   .2771E+00   .2615E-01
  .4400   .1379E+06   .1446E+00   .1558E+00   .1417E+19   .4786E+04   .2561E-04   .2921E+00   .2757E-01
  .4600   .1287E+06   .1392E+00   .1443E+00   .1321E+19   .4414E+04   .2312E-04   .3073E+00   .2901E-01
  .4800   .1202E+06   .1345E+00   .1340E+00   .1233E+19   .4076E+04   .2092E-04   .3228E+00   .3047E-01
  .5000   .1124E+06   .1303E+00   .1247E+00   .1153E+19   .3769E+04   .1896E-04   .3386E+00   .3196E-01
  .5200   .1051E+06   .1266E+00   .1163E+00   .1079E+19   .3487E+04   .1720E-04   .3546E+00   .3348E-01
  .5400   .9837E+05   .1233E+00   .1086E+00   .1011E+19   .3229E+04   .1561E-04   .3710E+00   .3502E-01
  .5600   .9210E+05   .1204E+00   .1017E+00   .9482E+18   .2991E+04   .1418E-04   .3877E+00   .3660E-01
  .5800   .8625E+05   .1177E+00   .9524E-01   .8898E+18   .2772E+04   .1288E-04   .4047E+00   .3820E-01
  .6000   .8076E+05   .1154E+00   .8933E-01   .8352E+18   .2569E+04   .1171E-04   .4220E+00   .3983E-01
  .6200   .7559E+05   .1133E+00   .8388E-01   .7842E+18   .2380E+04   .1065E-04   .4397E+00   .4150E-01
  .6400   .7073E+05   .1115E+00   .7882E-01   .7364E+18   .2205E+04   .9679E-05   .4577E+00   .4320E-01
  .6600   .6615E+05   .1098E+00   .7412E-01   .6914E+18   .2041E+04   .8799E-05   .4760E+00   .4494E-01
  .6800   .6182E+05   .1083E+00   .6974E-01   .6491E+18   .1889E+04   .7998E-05   .4948E+00   .4671E-01
  .7000   .5774E+05   .1070E+00   .6563E-01   .6092E+18   .1747E+04   .7265E-05   .5140E+00   .4852E-01
  .7200   .5386E+05   .1058E+00   .6177E-01   .5714E+18   .1614E+04   .6594E-05   .5335E+00   .5036E-01
  .7400   .5019E+05   .1047E+00   .5812E-01   .5354E+18   .1489E+04   .5977E-05   .5535E+00   .5224E-01
  .7600   .4668E+05   .1037E+00   .5464E-01   .5012E+18   .1371E+04   .5408E-05   .5738E+00   .5417E-01
  .7800   .4335E+05   .1028E+00   .5132E-01   .4684E+18   .1260E+04   .4882E-05   .5946E+00   .5613E-01
  .8000   .4015E+05   .1020E+00   .4813E-01   .4369E+18   .1155E+04   .4395E-05   .6159E+00   .5814E-01
  .8200   .3708E+05   .1013E+00   .4504E-01   .4066E+18   .1056E+04   .3942E-05   .6376E+00   .6019E-01
  .8400   .3413E+05   .1006E+00   .4204E-01   .3773E+18   .9613E+03   .3519E-05   .6598E+00   .6228E-01
  .8600   .3128E+05   .1000E+00   .3910E-01   .3487E+18   .8708E+03   .3122E-05   .6825E+00   .6442E-01
  .8800   .2853E+05   .9962E-01   .3622E-01   .3208E+18   .7841E+03   .2749E-05   .7056E+00   .6661E-01
  .9000   .2581E+05   .9931E-01   .3333E-01   .2929E+18   .6995E+03   .2393E-05   .7293E+00   .6884E-01
  .9200   .2302E+05   .9937E-01   .3031E-01   .2638E+18   .6130E+03   .2040E-05   .7534E+00   .7112E-01
  .9400   .1962E+05   .1004E+00   .2670E-01   .2280E+18   .5105E+03   .1648E-05   .7781E+00   .7345E-01
  .9600   .1430E+05   .1047E+00   .2105E-01   .1711E+18   .3564E+03   .1098E-05   .8033E+00   .7583E-01
  .9800   .6449E+04   .1077E+00   .1123E-01   .8344E+17   .1477E+03   .3968E-06   .8291E+00   .7827E-01
 1.0000   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00   .0000E+00
