fiolC,miol,xre,rhor,xnC,xte,miolC,fiol,eiolC,xni,xti,eiol
0.00017350521283657192,0.11093119123010295,12000.0,0.085000000000000006,2.45e+17,4.33e+19,0.0010628498531156121,0.064916498270661524,0.00090977789278157562,3.81e+19,2150.0,0.11420673442132749
0.00017387015494637302,0.11091868989545646,12700.0,0.089999999999999997,2.45e+17,4.32e+19,0.0010647619573846215,0.064911192100734177,0.00091139278336217679,3.8e+19,2140.0,0.1141775168972704
0.00017442298304570211,0.11092339226424984,13400.0,0.095000000000000001,2.45e+17,4.31e+19,0.0010676732507396841,0.064922214929350727,0.00091387273379321871,3.79e+19,2130.0,0.11416897945136957
0.00017501756358714854,0.11093191767825208,14100.0,0.10000000000000001,2.45e+17,4.3e+19,0.0010708065861138698,0.06493686642431036,0.00091654491974658091,3.79e+19,2130.0,0.11416503757839233
0.00017373333078613936,0.11077001137978017,14800.0,0.105,2.45e+17,4.29e+19,0.0010639289976083846,0.064789443020495913,0.00091055424375036055,3.78e+19,2120.0,0.11395872968223314
0.00017197344903767305,0.11056495781232745,15500.0,0.11,2.45e+17,4.28e+19,0.0010545169979941217,0.064600987996738676,0.0009023704381466509,3.77e+19,2110.0,0.11370118988147093
0.00017241971263947799,0.1105612442291513,16200.0,0.115,2.45e+17,4.27e+19,0.0010568659549290609,0.06460383255760363,0.00090436405863727348,3.76e+19,2110.0,0.11368311412060933
0.00017349630348421758,0.11061505635576845,16900.0,0.12,2.45e+17,4.26e+19,0.0010625751851637722,0.064661334142646354,0.00090926551515484806,3.75e+19,2100.0,0.11373345665686219
0.00017279255498308307,0.11050656157032906,17500.0,0.125,2.4333333333333334e+17,4.24e+19,0.0010587903466937874,0.064564760380104266,0.00090595325842580357,3.74e+19,2090.0,0.11359125148321644
0.00017151909789126887,0.11034612857303157,18100.0,0.13,2.4333333333333334e+17,4.23e+19,0.0010519674062382995,0.06441888250633504,0.00090001261345784101,3.73e+19,2080.0,0.11338743104240313
0.0001704349426102617,0.11020248893228503,18600.0,0.13500000000000001,2.4333333333333334e+17,4.22e+19,0.0010461468320216523,0.06428911657220554,0.00089494076134464433,3.72e+19,2070.0,0.11320384983567126
0.0001694182098920077,0.1100648304870224,19200.0,0.14000000000000001,2.4333333333333334e+17,4.21e+19,0.0010406832649585646,0.064165089137125805,0.00089017834230300803,3.71e+19,2060.0,0.11302747712326976
0.0001685870747628489,0.10994412682357409,19800.0,0.14499999999999999,2.4333333333333334e+17,4.2e+19,0.0010362074693297057,0.064057221486279833,0.00088627138595031587,3.7e+19,2050.0,0.11287145682685117
0.00016782913304910795,0.10983010955295397,20300.0,0.14999999999999999,2.4333333333333334e+17,4.18e+19,0.0010321212173650496,0.063955726708089411,0.00088270179516509453,3.69e+19,2040.0,0.11272346283532723
0.00016725346175852849,0.10973310509611561,20900.0,0.155,2.4333333333333334e+17,4.17e+19,0.0010290087193777846,0.063870361927182817,0.00087997496353368334,3.68e+19,2030.0,0.11259582359895835
