zbar2,exlti,gammahat,bthet,exlte,qhatHeati,Snbi,exlni,xne,xer,eiolC,xnC,vtorC,vtorD,vtorDhat,xmomtor1,xmomtor2,xte,xnuioni,xnuati,vpolD,y22,qhatHeate,nudrag,vtorChat,fiolC,miol,rhor,miolC,fiol,intrin,intrinC,eiol,qHeati,fz1,qnbi,q,vpolC,gamC,xti,xni,fracz,y11,qHeate,gamma
6.0,0.29137582000000001,9.4904826293093827e+18,0.067620751341681565,0.47931217999999998,12069.64179066613,3.3969302443381916e+19,1.0004321,3.58e+19,31800.0,0.00087400552190445961,2.45e+17,81600.0,89677.351777249074,44014.849143037878,0.0553801721603671,0.00041492789539112961,1370.0,0.0,0.0,-1502.5,0.0098229278953911297,0.0,40.98172230710874,81423.296725626453,0.00016647173691736335,0.10799245097398892,0.35999999999999999,0.0010236557024066338,0.062476737459968831,45662.502634211196,176.70327437354058,0.11009315347748448,12053.197317490327,1.47e+18,64116.885322830814,0.77800000000000002,-601.0,0.0,1470.0,3.27e+19,0.025000000000000001,0.36734074271861961,0.0,9.472740880368298e+18
6.0,0.28649374999999999,9.5276207233728369e+18,0.068559928443649373,0.47457989,12206.341085740522,3.347230830640001e+19,1.0119566,3.57e+19,31800.0,0.00087617820004311589,2.45e+17,81300.0,89263.10545723376,43909.580627091018,0.054943465168288012,0.00041291867994572279,1360.0,0.0,0.0,-1565.0,0.0098209186799457227,0.0,41.346048426124412,81124.065298195739,0.00016695371401597296,0.10799891677713803,0.36499999999999999,0.0010262082183428193,0.062488320130512365,45353.524830142742,175.93470180425851,0.11009167820789867,12190.104317249623,1.47e+18,63666.156519180324,0.78700000000000003,-626.0,0.0,1450.0,3.26e+19,0.025000000000000001,0.36809754437351561,0.0,9.5103388481966223e+18
6.0,0.28165156000000002,9.5677090183407739e+18,0.069499105545617168,0.46986012999999999,12346.131121445122,3.2987210710110433e+19,1.0234175999999999,3.56e+19,31700.0,0.00086673790277541011,2.4666666666666666e+17,80900.0,88702.741153687763,43758.424545744303,0.054645906020414338,0.00041474841492417032,1350.0,0.0,0.0,-1630.0,0.0098867484149241687,0.0,41.787237637944529,80727.139617976616,0.00016492317207084109,0.1077703063871417,0.37,0.0010153024401612894,0.062280685453784235,44944.31660794346,172.86038202338747,0.10981408537559612,12326.770701058065,1.48e+18,63379.104022992455,0.79500000000000004,-652.0,0.0,1430.0,3.25e+19,0.025000000000000001,0.36903746104368135,0.0,9.5467568092039782e+18
6.0,0.27687356000000002,9.6050512398590751e+18,0.070438282647584963,0.46514847999999998,12483.481190254766,3.2513856356892307e+19,1.0346976999999999,3.54e+19,31600.0,0.0008617174834471905,2.4666666666666666e+17,80600.0,88363.417606364208,43634.252954533564,0.054182514109984259,0.000412500621824983,1340.0,0.0,0.0,-1697.5,0.0098845006218249813,0.0,42.1591535442167,80428.726260029347,0.00016384866749356026,0.10763139529425814,0.375,0.0010095192140289375,0.062156635235391625,44729.164651830644,171.27373997065757,0.10964192362386418,12462.281537127627,1.48e+18,62895.655086181825,0.80400000000000005,-679.0,0.0,1420.0,3.24e+19,0.025000000000000001,0.36979264436242099,0.0,9.5820360001990533e+18
6.0,0.27244162999999999,9.6365911619015946e+18,0.071377459749552771,0.46067288000000001,12617.983908946226,3.2052091949124764e+19,1.0467763999999999,3.53e+19,31600.0,0.00086977990281984969,2.4666666666666666e+17,80200.0,87861.270089883299,43395.976789328139,0.053925074785816943,0.00041181171663059373,1330.0,0.0,0.0,-1767.5,0.009883811716630591,0.0,42.60661290558302,80028.356617805053,0.0001656040335251186,0.1077579941208283,0.38,0.0010188987419621539,0.062279995013672144,44465.29330055516,171.6433821949451,0.10978183787062137,12598.786713115212,1.48e+18,62650.502954936157,0.81200000000000006,-707.0,0.0,1400.0,3.23e+19,0.025000000000000001,0.37069873843086126,0.0,9.6162170388894269e+18
6.0,0.26820727999999999,9.6670223150156001e+18,0.072316636851520566,0.45625654999999998,12751.28199698408,3.1601764189186929e+19,1.0582738,3.52e+19,31500.0,0.00087809732778174369,2.4666666666666666e+17,79800.0,87354.801961560355,43154.561543713084,0.053468390169463302,0.00040959222283025719,1320.0,0.0,0.0,-1837.5,0.0098815922228302558,0.0,43.036576368982935,79627.968928331844,0.00016741609189167527,0.10788906849430782,0.38500000000000001,0.0010285735018545461,0.062407601497695211,44200.240417847272,172.03107166815872,0.10992708915800783,12734.14296010297,1.48e+18,62173.098230430158,0.82099999999999995,-735.0,0.0,1380.0,3.22e+19,0.025000000000000001,0.37140223691994789,0.0,9.6493399242653696e+18
6.0,0.26426622,9.6961967654294835e+18,0.073255813953488375,0.45197177999999999,12884.226494921963,3.1162719779457933e+19,1.0706804999999999,3.51e+19,31400.0,0.00088725737990806585,2.4666666666666666e+17,79400.0,86934.142441856136,42834.798360509754,0.053182056644478171,0.00040866793267823308,1310.0,0.0,0.0,-1910.0,0.0098806679326782307,0.0,43.49031203910225,79226.818541791203,0.00016941548145213943,0.10803493163148786,0.39000000000000001,0.0010392238108294313,0.062549240574606674,44099.344081346382,173.18145820879434,0.11008997588399541,12869.357408486263,1.48e+18,61892.964511065074,0.82999999999999996,-764.0,0.0,1370.0,3.21e+19,0.025000000000000001,0.37227050245323301,0.0,9.6814440369541284e+18
6.0,0.26042688000000003,9.7257435458153656e+18,0.074194991055456169,0.44754200999999999,13018.419293212393,3.07348054223169e+19,1.0824332999999999,3.49e+19,31200.0,0.00089271031811415374,2.4666666666666666e+17,79000.0,86424.133938150335,42618.709255554713,0.052764639846762364,0.00040672743215212654,1300.0,0.0,0.0,-1985.0,0.0098787274321521235,0.0,43.937438967339709,78827.036146253027,0.0001706103341573441,0.10810688801864052,0.39500000000000002,0.001045578029816728,0.062621872611389823,43805.424682595622,172.96385374697709,0.11016601134565646,13004.705643662812,1.48e+18,61459.51877842081,0.83899999999999997,-794.0,0.0,1350.0,3.2e+19,0.025000000000000001,0.37302087270907147,0.0,9.712568139547306e+18
6.0,0.25686114999999998,9.7592899239321518e+18,0.075134168157423964,0.44330858000000001,13156.660176922849,3.0317867820142961e+19,1.0944707,3.48e+19,31100.0,0.00088439397604508604,2.4666666666666666e+17,78600.0,85904.274396299865,42506.010887144075,0.052482214448751785,0.00040581858612409946,1290.0,0.0,0.0,-2060.0,0.0098778185861240972,0.0,44.413404082402948,78429.898846259181,0.00016881690711444204,0.10790433361997712,0.40000000000000002,0.001035975343135837,0.062438192784839211,43398.26350915579,170.10115374081391,0.10991945639696178,13139.947923461415,1.48e+18,61182.55428915313,0.84899999999999998,-824.0,0.0,1330.0,3.19e+19,0.025000000000000001,0.37396319528743521,0.0,9.74275037690368e+18
6.0,0.25359035000000002,9.7905950618483323e+18,0.076073345259391759,0.43924316000000002,13292.927897394336,2.9911753675315225e+19,1.1061498000000001,3.47e+19,31000.0,0.00087973330902612907,2.4833333333333334e+17,78100.0,85333.602492041697,42150.79366794708,0.052068150408052162,0.0004066118663941181,1280.0,0.0,0.0,-2137.5,0.0099426118663941167,0.0,44.934746303216002,77931.417278236258,0.000167817236702432,0.10777456460149459,0.40500000000000003,0.0010306093444640636,0.062322453743177568,43182.808824094616,168.58272176374243,0.1097584943095999,13274.330220957829,1.49e+18,60754.536851133947,0.85799999999999998,-855.0,0.0,1320.0,3.18e+19,0.025000000000000001,0.37475668135763363,0.0,9.7720282764295926e+18
