rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
2.95E-01,6.97E+19,5.11E+19,1667.192,1953.289,34946.636,1.78E+19,0.025,0.46345893,0.76208085,-144.05086,171028.13,0.34402025
3.00E-01,6.93E+19,5.06E+19,1660.3658,1940.2262,35217.323,1.78E+19,0.025,0.45561549,0.74761813,-151.50024,170130.11,0.33686948
3.05E-01,6.88E+19,5.01E+19,1653.4656,1927.0394,35475.044,1.78E+19,0.025,0.44786349,0.73318615,-159.20213,169228.66,0.32965162
3.10E-01,6.83E+19,4.97E+19,1646.5291,1913.7939,35720.76,1.78E+19,0.025,0.44047111,0.71920448,-167.1598,168322.39,0.32256648
3.15E-01,6.79E+19,4.92E+19,1639.4853,1900.436,35955.139,1.78E+19,0.025,0.43338636,0.70571056,-175.38046,167409.71,0.31559685
3.20E-01,6.74E+19,4.87E+19,1632.3369,1886.9721,36174.313,1.79E+19,0.025,0.42647082,0.69242208,-183.86521,166491.24,0.30872244
3.25E-01,6.69E+19,4.82E+19,1625.0867,1873.436,36381.081,1.79E+19,0.025,0.41991603,0.67965157,-192.6182,165568.01,0.30250609
3.30E-01,6.65E+19,4.78E+19,1617.7375,1859.8379,36556.831,1.80E+19,0.025,0.41368926,0.66735505,-201.64698,164643.07,0.29692873
3.35E-01,6.60E+19,4.73E+19,1610.3602,1846.1549,36704.792,1.80E+19,0.025,0.407756,0.65546744,-210.95236,163713.1,0.29200408
3.40E-01,6.56E+19,4.68E+19,1602.8997,1832.4005,36840.237,1.81E+19,0.025,0.40200371,0.64379524,-220.53856,162778.73,0.28759831
3.45E-01,6.52E+19,4.63E+19,1595.3412,1818.6167,36964.027,1.81E+19,0.025,0.3964234,0.63235261,-230.41322,161840.57,0.28379378
3.50E-01,6.47E+19,4.58E+19,1587.6876,1804.7698,37077.316,1.82E+19,0.025,0.39125592,0.62156135,-240.5771,160900.77,0.28075379
3.55E-01,6.43E+19,4.53E+19,1579.9416,1790.873,37179.55,1.83E+19,0.025,0.38603562,0.61057902,-251.03438,159958.15,0.27810776
3.60E-01,6.39E+19,4.48E+19,1572.1576,1776.9511,37270.493,1.84E+19,0.025,0.38117084,0.60010112,-261.79273,159012.5,0.27612054
3.65E-01,6.35E+19,4.43E+19,1564.3035,1762.9961,37350.319,1.84E+19,0.025,0.37633336,0.58970367,-272.85103,158064.46,0.2745809
3.70E-01,6.31E+19,4.38E+19,1556.3588,1749.0133,37420.322,1.85E+19,0.025,0.37179595,0.57968439,-284.22222,157115.21,0.27363494
3.75E-01,6.27E+19,4.34E+19,1548.3266,1735.0184,37480.755,1.86E+19,0.025,0.36744776,0.56994473,-295.89736,156164.61,0.27324882
3.80E-01,6.23E+19,4.29E+19,1540.2097,1721.012,37530.418,1.87E+19,0.025,0.36334965,0.56052563,-307.89377,155212.42,0.27347776
3.85E-01,6.19E+19,4.24E+19,1532.0677,1707.0006,37569.466,1.88E+19,0.025,0.35935664,0.55118636,-320.20684,154259.28,0.27416766
3.90E-01,6.15E+19,4.20E+19,1523.847,1692.9945,37590.897,1.89E+19,0.025,0.35549614,0.54204806,-332.84522,153305.85,0.27542222
3.95E-01,6.12E+19,4.16E+19,1515.5439,1678.9942,37578.358,1.90E+19,0.025,0.351863,0.53322229,-345.81328,152352.07,0.27737474
