rhor,xne,xni,xte,xti,xer,fracz,exlti,exlte,vtorC,vpolC,fz1,exlni
6.00E-02,6.30E+19,5.17E+19,3501.7301,3673.2297,24379.906,0.025,2.3116453,1.2375081,326295.59,-1.1743797,1.12E+19,-2.5601416
6.50E-02,6.31E+19,5.18E+19,3494.5941,3669.2085,24869.526,0.025,2.1665397,1.1672122,325843.87,-1.4931203,1.12E+19,-2.41854
7.00E-02,6.32E+19,5.18E+19,3486.9669,3664.8796,25685.555,0.025,2.0592427,1.115945,325358.83,-1.8648716,1.12E+19,-2.3227391
7.50E-02,6.33E+19,5.19E+19,3478.8595,3660.2457,26794.926,0.025,1.9826883,1.0808159,324841,-2.2937111,1.12E+19,-2.2668526
8.00E-02,6.34E+19,5.20E+19,3470.2833,3655.3075,28132.748,0.025,1.932174,1.0601261,324290.74,-2.783715,1.12E+19,-2.2439582
8.50E-02,6.35E+19,5.20E+19,3461.2493,3650.0685,29667.009,0.025,1.9078072,1.052881,323708.47,-3.3389628,1.12E+19,-2.252666
9.00E-02,6.36E+19,5.21E+19,3451.7683,3644.5308,31364.513,0.025,1.9050547,1.0575148,323094.57,-3.9635315,1.12E+19,-2.293143
9.50E-02,6.37E+19,5.22E+19,3441.8514,3638.6962,33191.719,0.025,1.9206302,1.0730718,322449.55,-4.6614986,1.12E+19,-2.3612771
1.00E-01,6.38E+19,5.22E+19,3431.5091,3632.5669,35121.273,0.025,1.9494058,1.0954098,321773.8,-5.4369438,1.12E+19,-2.4500527
1.05E-01,6.39E+19,5.23E+19,3420.7521,3626.1442,37145.905,0.025,1.9706553,1.1138199,321067.81,-6.2939413,1.12E+19,-2.5357807
1.10E-01,6.40E+19,5.24E+19,3409.591,3619.4313,39248.692,0.025,1.9508046,1.1093993,320331.94,-7.236572,1.12E+19,-2.5755785
1.15E-01,6.41E+19,5.24E+19,3398.036,3612.4301,41328.831,0.025,1.8568807,1.0620996,319566.59,-8.2689123,1.12E+19,-2.5181689
1.20E-01,6.43E+19,5.25E+19,3386.0977,3605.1426,43287.834,0.025,1.6955552,0.97574314,318772.19,-9.3950378,1.12E+19,-2.3668654
1.25E-01,6.44E+19,5.26E+19,3373.786,3597.5714,45096.867,0.025,1.561976,0.90439083,317949.28,-10.619031,1.12E+19,-2.2459671
1.30E-01,6.45E+19,5.27E+19,3361.1112,3589.7167,46795.959,0.025,1.4612466,0.85109466,317098.08,-11.944963,1.12E+19,-2.1685858
1.35E-01,6.46E+19,5.28E+19,3348.0831,3581.5833,48408.115,0.025,1.384573,0.81105579,316219.24,-13.376921,1.12E+19,-2.1221385
1.40E-01,6.48E+19,5.28E+19,3334.7117,3573.1714,49956.955,0.025,1.3327264,0.78537276,315313.02,-14.918973,1.12E+19,-2.1146109
1.45E-01,6.49E+19,5.29E+19,3321.0068,3564.4834,51474.739,0.025,1.2995967,0.77049424,314379.88,-16.5752,1.12E+19,-2.1371424
1.50E-01,6.50E+19,5.30E+19,3306.9779,3555.5217,52972.309,0.025,1.2743596,0.76009459,313420.32,-18.349692,1.12E+19,-2.1746511
1.55E-01,6.52E+19,5.31E+19,3292.6346,3546.2887,54456.226,0.025,1.247804,0.7486863,312434.6,-20.246504,1.12E+19,-2.2104719
1.60E-01,6.53E+19,5.32E+19,3277.9864,3536.7863,55920.25,0.025,1.2157025,0.73373963,311423.37,-22.269724,1.12E+19,-2.237529
1.65E-01,6.54E+19,5.32E+19,3263.0425,3527.0159,57349.056,0.025,1.1780027,0.71532555,310386.81,-24.423433,1.13E+19,-2.2568381
1.70E-01,6.56E+19,5.33E+19,3247.8123,3516.9809,58725.227,0.025,1.1363025,0.69408237,309325.56,-26.711702,1.13E+19,-2.2672417
1.75E-01,6.57E+19,5.34E+19,3232.3048,3506.6822,60052.429,0.025,1.098369,0.67494244,308239.99,-29.138615,1.13E+19,-2.2859659
1.80E-01,6.58E+19,5.35E+19,3216.529,3496.1236,61335.468,0.025,1.0646006,0.65817886,307130.46,-31.708259,1.13E+19,-2.3132787
1.85E-01,6.60E+19,5.35E+19,3200.4939,3485.3048,62578.735,0.025,1.0347782,0.64369594,305997.44,-34.424692,1.13E+19,-2.3517067
1.90E-01,6.61E+19,5.36E+19,3184.2081,3474.2303,63786.549,0.025,1.008459,0.63100693,304841.34,-37.291996,1.13E+19,-2.4003646
1.95E-01,6.62E+19,5.37E+19,3167.6805,3462.9004,64959.694,0.025,0.9827677,0.61874713,303662.57,-40.314253,1.13E+19,-2.4561226
2.00E-01,6.64E+19,5.38E+19,3150.9195,3451.3183,66084.633,0.025,0.95811135,0.60688302,302461.61,-43.495551,1.13E+19,-2.5169663
2.05E-01,6.65E+19,5.38E+19,3133.9337,3439.4855,67173.607,0.025,0.93346071,0.59489364,301238.8,-46.839949,1.14E+19,-2.5857484
2.10E-01,6.66E+19,5.39E+19,3116.7314,3427.4042,68224.03,0.025,0.90950567,0.58324763,299994.63,-50.35153,1.14E+19,-2.6618173
2.15E-01,6.67E+19,5.40E+19,3099.3208,3415.0767,69236.984,0.025,0.88713586,0.57234903,298729.46,-54.034375,1.14E+19,-2.7455606
2.20E-01,6.69E+19,5.40E+19,3081.7101,3402.5049,70214.035,0.025,0.86562496,0.56195376,297443.85,-57.892565,1.14E+19,-2.8416142
2.25E-01,6.70E+19,5.41E+19,3063.9074,3389.6911,71149.399,0.025,0.84483433,0.55192865,296138.09,-61.930168,1.14E+19,-2.9486368
2.30E-01,6.71E+19,5.41E+19,3045.9205,3376.6377,72040.283,0.025,0.82512015,0.54238028,294812.65,-66.151299,1.14E+19,-3.0648415
2.35E-01,6.72E+19,5.42E+19,3027.7573,3363.3463,72896.011,0.025,0.80611998,0.53325437,293467.96,-70.559971,1.15E+19,-3.1977961
2.40E-01,6.74E+19,5.42E+19,3009.4254,3349.8194,73717.941,0.025,0.78778654,0.52440086,292104.46,-75.160302,1.15E+19,-3.3470757
2.45E-01,6.75E+19,5.43E+19,2990.9326,3336.0586,74503.792,0.025,0.76981109,0.51573563,290722.53,-79.956368,1.15E+19,-3.5195653
2.50E-01,6.76E+19,5.43E+19,2972.2862,3322.0665,75251.45,0.025,0.75307417,0.5077096,289322.63,-84.95225,1.15E+19,-3.7137618
2.55E-01,6.77E+19,5.44E+19,2953.4938,3307.8451,75954.117,0.025,0.73660374,0.49980533,287905.18,-90.152003,1.15E+19,-3.9383461
2.60E-01,6.78E+19,5.44E+19,2934.5625,3293.3965,76623.596,0.025,0.72094858,0.49238699,286470.61,-95.559701,1.16E+19,-4.2041373
2.65E-01,6.79E+19,5.45E+19,2915.4995,3278.723,77258.492,0.025,0.70559436,0.48507313,285019.32,-101.17946,1.16E+19,-4.5177011
2.70E-01,6.80E+19,5.45E+19,2896.3118,3263.8261,77859.245,0.025,0.69091922,0.47805686,283551.79,-107.01539,1.16E+19,-4.8905869
2.75E-01,6.81E+19,5.45E+19,2877.0066,3248.708,78422.478,0.025,0.67658609,0.47124301,282068.33,-113.07147,1.16E+19,-5.3501239
2.80E-01,6.82E+19,5.46E+19,2857.5906,3233.3717,78947.609,0.025,0.6626811,0.4646429,280569.46,-119.3518,1.17E+19,-5.9165087
2.85E-01,6.83E+19,5.46E+19,2838.0705,3217.8185,79440.132,0.025,0.64917129,0.45819624,279055.6,-125.8605,1.17E+19,-6.6360402
2.90E-01,6.84E+19,5.46E+19,2818.453,3202.0504,79899.063,0.025,0.63606822,0.45198761,277527.16,-132.60163,1.17E+19,-7.5914268
2.95E-01,6.85E+19,5.46E+19,2798.7446,3186.0702,80324.982,0.025,0.62338376,0.4459633,275984.59,-139.57925,1.18E+19,-8.914669
3.00E-01,6.86E+19,5.47E+19,2778.9516,3169.8794,80711.761,0.025,0.61092848,0.44004531,274428.25,-146.79751,1.18E+19,-10.854792
3.05E-01,6.86E+19,5.47E+19,2759.0806,3153.4805,81066.269,0.025,0.59893411,0.43441118,272858.61,-154.26037,1.18E+19,-13.963756
3.10E-01,6.87E+19,5.47E+19,2739.1376,3136.8754,81390.648,0.025,0.58733016,0.42892156,271276.09,-161.97199,1.19E+19,-19.775566
3.15E-01,6.88E+19,5.47E+19,2719.1287,3120.0662,81683.777,0.025,0.57582313,0.42346397,269681.12,-169.93643,1.19E+19,-34.977028
3.20E-01,6.89E+19,5.47E+19,2699.0599,3103.0555,81942.451,0.025,0.56469375,0.41822197,268074.13,-178.15776,1.19E+19,-46.831024
3.25E-01,6.89E+19,5.47E+19,2678.9371,3085.8445,82169.128,0.025,0.55393708,0.41315319,266455.54,-186.64007,1.20E+19,60.69614
3.30E-01,6.90E+19,5.47E+19,2658.766,3068.4357,82365.318,0.025,0.54333025,0.40815303,264825.74,-195.38745,1.20E+19,25.236214
3.35E-01,6.91E+19,5.47E+19,2638.5523,3050.832,82533.669,0.025,0.53294224,0.40327722,263185.21,-204.40391,1.20E+19,15.935324
3.40E-01,6.91E+19,5.47E+19,2618.3017,3033.0343,82670.822,0.025,0.52305454,0.39866735,261534.33,-213.6936,1.21E+19,11.623466
3.45E-01,6.92E+19,5.47E+19,2598.0195,3015.0454,82778.244,0.025,0.51318705,0.39402212,259873.5,-223.26058,1.21E+19,9.1159935
3.50E-01,6.92E+19,5.46E+19,2577.7111,2996.8672,82856.995,0.025,0.50366408,0.38956738,258203.28,-233.10888,1.22E+19,7.504324
3.55E-01,6.92E+19,5.46E+19,2557.3816,2978.502,82907.669,0.025,0.49422151,0.38513205,256523.99,-243.24268,1.22E+19,6.3563972
3.60E-01,6.93E+19,5.46E+19,2537.0362,2959.9514,82929.84,0.025,0.48493889,0.38074725,254835.98,-253.66607,1.22E+19,5.5128345
3.65E-01,6.93E+19,5.45E+19,2516.68,2941.2181,82926.796,0.025,0.4760235,0.37658929,253139.82,-264.38299,1.23E+19,4.8634868
3.70E-01,6.93E+19,5.45E+19,2496.3178,2922.3042,82897.438,0.025,0.46723843,0.37246582,251435.82,-275.39754,1.23E+19,4.3467531
3.75E-01,6.94E+19,5.45E+19,2475.9545,2903.2114,82842.033,0.025,0.45865119,0.36845779,249724.53,-286.71381,1.24E+19,3.925936
3.80E-01,6.94E+19,5.44E+19,2455.5947,2883.9424,82761.955,0.025,0.45022064,0.36451261,248006.32,-298.33597,1.24E+19,3.5756347
3.85E-01,6.94E+19,5.44E+19,2435.2431,2864.4986,82656.517,0.025,0.44197288,0.36065968,246281.54,-310.26798,1.25E+19,3.2790427
3.90E-01,6.94E+19,5.43E+19,2414.904,2844.8827,82526.321,0.025,0.43387792,0.35690167,244550.69,-322.51403,1.25E+19,3.0276427
3.95E-01,6.94E+19,5.43E+19,2394.5818,2825.0961,82372.91,0.025,0.42582682,0.35308874,242814.21,-335.07821,1.26E+19,2.8094697
4.00E-01,6.94E+19,5.42E+19,2374.2809,2805.1414,82199.371,0.025,0.41816795,0.34956737,241072.45,-347.96444,1.27E+19,2.6202061
4.05E-01,6.94E+19,5.41E+19,2354.0054,2785.0208,82002.327,0.025,0.41050735,0.34599181,239325.93,-361.17691,1.27E+19,2.4507778
4.10E-01,6.94E+19,5.41E+19,2333.7593,2764.7364,81782.684,0.025,0.40297219,0.34244192,237575.01,-374.71962,1.28E+19,2.3008389
4.15E-01,6.94E+19,5.40E+19,2313.5466,2744.2901,81545.166,0.025,0.39554563,0.33893113,235820.11,-388.59671,1.28E+19,2.1669431
4.20E-01,6.94E+19,5.39E+19,2293.3711,2723.6841,81285.69,0.025,0.38831249,0.33554454,234061.71,-402.8123,1.29E+19,2.046587
4.25E-01,6.94E+19,5.39E+19,2273.2363,2702.9207,81004.257,0.025,0.38130677,0.33231195,232300.14,-417.37035,1.30E+19,1.9375713
4.30E-01,6.94E+19,5.38E+19,2253.1462,2682.0011,80707.466,0.025,0.37425345,0.32895968,230535.93,-432.27512,1.30E+19,1.8379021
4.35E-01,6.94E+19,5.37E+19,2233.1041,2660.929,80391.396,0.025,0.36733395,0.32569222,228769.47,-447.53048,1.31E+19,1.7470301
4.40E-01,6.93E+19,5.36E+19,2213.1135,2639.7057,80057.198,0.025,0.36076137,0.32267583,227001.17,-463.14061,1.32E+19,1.6653647
4.45E-01,6.93E+19,5.35E+19,2193.1775,2618.3326,79708.427,0.025,0.35405138,0.31949119,225231.45,-479.10956,1.32E+19,1.5882506
4.50E-01,6.93E+19,5.34E+19,2173.2995,2596.8132,79342.476,0.025,0.34754148,0.31643846,223460.72,-495.4415,1.33E+19,1.5192835
4.55E-01,6.92E+19,5.33E+19,2153.4823,2575.1481,78958.443,0.025,0.34112903,0.31340785,221689.44,-512.14039,1.34E+19,1.4553068
4.60E-01,6.92E+19,5.32E+19,2133.7292,2553.3409,78560.089,0.025,0.33481658,0.31041148,219918.01,-529.21039,1.34E+19,1.3968796
4.65E-01,6.91E+19,5.31E+19,2114.0429,2531.3926,78149.048,0.025,0.32862398,0.30747919,218146.9,-546.65548,1.35E+19,1.3425133
4.70E-01,6.91E+19,5.30E+19,2094.4261,2509.3074,77721.588,0.025,0.3225477,0.30456274,216376.5,-564.47977,1.36E+19,1.2918876
4.75E-01,6.90E+19,5.28E+19,2074.8815,2487.0939,77279.724,0.025,0.31674385,0.30171574,214607.22,-582.68738,1.37E+19,1.2451103
4.80E-01,6.90E+19,5.27E+19,2055.4116,2464.762,76828.568,0.025,0.31112167,0.2989271,212839.55,-601.28242,1.37E+19,1.2017863
4.85E-01,6.89E+19,5.26E+19,2036.0188,2442.3218,76361.023,0.025,0.3055858,0.29605402,211073.81,-620.269,1.38E+19,1.1607558
4.90E-01,6.89E+19,5.25E+19,2016.7056,2419.7831,75892.212,0.025,0.30032191,0.29329178,209310.5,-639.65094,1.39E+19,1.1224773
4.95E-01,6.88E+19,5.23E+19,1997.474,2397.1567,75419.189,0.025,0.29515401,0.29051657,207550.03,-659.43259,1.40E+19,1.0865248
5.00E-01,6.87E+19,5.22E+19,1978.3263,2374.4514,74930.099,0.025,0.29021043,0.28781413,205792.8,-679.618,1.41E+19,1.0526688
5.05E-01,6.87E+19,5.21E+19,1959.2643,2351.6779,74430.153,0.025,0.28543133,0.28515043,204039.29,-700.21099,1.42E+19,1.0208614
5.10E-01,6.86E+19,5.19E+19,1940.29,2328.846,73926.369,0.025,0.28078428,0.28248572,202289.87,-721.21602,1.43E+19,0.99074292
